Image,Groupe,Marches détectées,Vérité Terrain,Écart
groupe2_image1.jpeg,Groupe2,3,4,1
groupe2_image2.jpeg,Groupe2,5,7,2
groupe2_image3.jpeg,Groupe2,5,9,4
groupe2_image4.png,Groupe2,24,6,18
groupe2_image5.jpeg,Groupe2,2,8,6
groupe2_image6.jpeg,Groupe2,1,10,9
groupe2_image7.jpeg,Groupe2,5,10,5
groupe2_image8.jpg,Groupe2,16,9,7
groupe2_image9.jpg,Groupe2,14,9,5
groupe2_image10.jpg,Groupe2,8,10,2
groupe2_image11.jpg,Groupe2,11,9,2
groupe2_image12.png,Groupe2,3,7,4
groupe2_image13.png,Groupe2,9,16,7
t3i1.jpg,Groupe3,6,11,5
t3i2.jpg,Groupe3,9,12,3
t3i3.jpg,Groupe3,6,7,1
t3i4.jpg,Groupe3,5,10,5
t3i5.jpg,Groupe3,3,5,2
t3i6.jpg,Groupe3,7,4,3
t3i7.jpg,Groupe3,6,22,16
t3i8.jpg,Groupe3,4,17,13
t3i9.jpg,Groupe3,1,21,20
t3i10.jpg,Groupe3,1,34,33
t3i11.jpeg,Groupe3,9,6,3
t3i12.jpg,Groupe3,11,5,6
t3i13.jpg,Groupe3,9,4,5
t3i14.jpeg,Groupe3,7,4,3
t3i15.jpg,Groupe3,9,5,4
t3i16.png,Groupe3,2,4,2
t3i17.png,Groupe3,3,3,0
t3i18.png,Groupe3,3,3,0
t3i19.png,Groupe3,2,4,2
t3i20.png,Groupe3,1,2,1
t3i21.jpeg,Groupe3,16,14,2
t3i22.png,Groupe3,12,7,5
t3i23.jpg,Groupe3,14,12,2
t3i24.jpg,Groupe3,9,10,1
t3i25.jpg,Groupe3,1,7,6
t3i26.jpg,Groupe3,3,8,5
t3i27.jpg,Groupe3,13,7,6
t3i28.jpg,Groupe3,6,8,2
t3i29.jpg,Groupe3,9,12,3
t3i30.jpg,Groupe3,12,7,5
groupe6_image1.jpg,Groupe6,18,15,3
groupe6_image2.jpg,Groupe6,12,7,5
groupe6_image3.jpg,Groupe6,7,11,4
groupe6_image4.jpg,Groupe6,9,9,0
groupe6_image5.jpg,Groupe6,6,7,1
groupe6_image6.jpg,Groupe6,8,9,1
groupe6_image7.jpg,Groupe6,2,7,5
groupe6_image8.jpg,Groupe6,5,10,5
groupe6_image9.jpg,Groupe6,8,10,2
groupe6_image10.jpg,Groupe6,6,8,2
groupe1_image1.jpg,Groupe1,9,11,2
groupe1_image2.jpg,Groupe1,12,8,4
groupe1_image3.jpg,Groupe1,6,13,7
groupe1_image4.jpg,Groupe1,16,12,4
groupe1_image5.jpg,Groupe1,19,12,7
groupe1_image6.jpg,Groupe1,13,6,7
groupe1_image7.jpg,Groupe1,5,6,1
groupe1_image8.jpg,Groupe1,10,17,7
groupe1_image9.jpg,Groupe1,3,9,6
groupe1_image10.jpg,Groupe1,3,15,12
img1.png,Groupe4,6,8,2
img2.jpg,Groupe4,6,10,4
img3.png,Groupe4,4,22,18
img4.jpg,Groupe4,1,37,36
img5.jpg,Groupe4,5,5,0
img6.jpg,Groupe4,6,11,5
img7.png,Groupe4,5,11,6
img8.png,Groupe4,4,10,6
img9.png,Groupe4,6,12,6
grp7img10.jpg,Groupe7,15,10,5
grp7img11.jpg,Groupe7,9,6,3
grp7img12.jpg,Groupe7,2,22,20
groupe5_image01.jpg,Groupe5,9,9,0
groupe5_image02.jpg,Groupe5,8,4,4
groupe5_image03.jpg,Groupe5,1,38,37
groupe5_image04.jpg,Groupe5,1,6,5
groupe5_image05.jpg,Groupe5,1,7,6
groupe5_image06.jpg,Groupe5,17,5,12
groupe5_image07.jpg,Groupe5,15,11,4
groupe5_image08.jpg,Groupe5,6,14,8
groupe5_image09.jpg,Groupe5,3,8,5
groupe5_image10.jpeg,Groupe5,3,14,11
groupe5_image11.jpeg,Groupe5,2,13,11
groupe5_image12.jpeg,Groupe5,7,15,8
groupe5_image13.jpeg,Groupe5,4,3,1
groupe5_image14.jpeg,Groupe5,5,4,1
groupe5_image15.jpeg,Groupe5,7,8,1
groupe5_image16.jpeg,Groupe5,11,10,1
groupe5_image17.jpeg,Groupe5,8,13,5
groupe5_image18.jpeg,Groupe5,6,8,2
grp7img3.jpeg,groupe 7,6,15,9
grp7img4.jpeg,groupe 7,10,2,8
grp7img5.jpeg,groupe 7,13,10,3
grp7img2.jpeg,groupe 7,10,11,1
grp7img1.jpeg,groupe 7,6,15,9
