Luminosité,Contraste,Netteté,% lignes verticales,% lignes horizontales,Nb lignes détectées,Prédiction heuristique,Erreur,Nom image
86.94,42.72,273.92,15.79,18.78,33886,7,15,img3.png
87.11,55.44,199.28,13.97,19.22,63114,16,0,Groupe2_Image13.png
112.76,56.84,700.09,19.91,11.15,90783,9,-2,Groupe5_image05.jpg
135.84,59.52,269.0,14.09,21.05,51843,18,-7,grp7img2.jpeg
129.69,57.58,277.16,20.13,12.18,84601,10,-4,Groupe5_image04.jpg
117.66,17.82,55.1,100.0,0.0,26,0,4,t3i19.png
104.72,65.88,418.12,12.51,20.62,19229,7,5,img9.png
132.79,56.98,352.46,17.43,14.15,144486,14,-7,Groupe6_image2.jpg
133.53,58.4,194.87,12.52,24.7,20786,9,-2,t3i27.jpg
103.79,68.64,6012.96,18.66,14.74,31470,2,15,t3i8.jpg
114.23,68.49,683.23,12.88,23.84,13968,10,0,img8.png
76.55,51.56,158.74,10.3,20.15,62515,17,-12,t3i15.jpg
85.0,48.71,7051.69,19.65,12.59,38177,2,3,t3i5.jpg
97.61,78.82,3517.89,21.68,11.65,29733,1,9,t3i4.jpg
109.91,49.94,93.9,12.1,21.96,7620,3,7,Groupe2_Image10.jpg
103.78,58.43,231.72,17.31,18.68,65512,15,-5,grp7img5.jpeg
127.22,39.67,296.44,16.19,24.54,12471,3,4,Groupe2_Image2.jpeg
98.69,56.17,300.37,20.28,32.68,5024,7,6,Groupe1_Image3.jpg
100.88,71.17,250.35,16.6,14.89,84154,21,-12,Groupe6_image6.jpg
87.67,56.04,153.91,15.66,18.86,35281,20,-11,Groupe2_Image8.jpg
147.99,44.5,1275.03,16.72,18.98,25071,1,2,Groupe5_image13.jpeg
77.39,58.18,78.02,19.14,14.77,34427,12,-4,Groupe6_image10.jpg
130.65,62.51,43.42,41.1,55.58,905,18,-11,t3i30.jpg
136.46,43.92,29.5,40.17,43.16,234,14,-4,Groupe6_image8.jpg
111.67,45.89,1422.28,12.43,23.55,7498,4,9,Groupe5_image11.jpeg
93.68,60.69,41.57,53.62,31.16,1367,24,-18,Groupe2_Image4.png
112.01,64.84,151.7,10.05,56.79,1164,4,7,img7.png
89.3,45.3,177.14,16.12,17.58,34734,15,-5,t3i24.jpg
87.43,44.12,245.84,16.83,54.34,1349,6,2,Groupe5_image09.jpg
90.52,66.14,170.53,53.97,3.35,3756,11,-2,Groupe5_image01.jpg
134.47,54.8,86.88,17.55,15.58,25931,18,-6,t3i2.jpg
92.11,60.34,89.79,72.77,26.82,716,13,-2,Groupe1_Image1.jpg
72.56,43.65,40.11,13.36,36.76,9223,16,-11,Groupe5_image06.jpg
165.02,33.83,572.1,15.42,19.65,20146,2,2,Groupe2_Image1.jpeg
158.7,50.44,443.08,40.61,43.0,293,4,3,t3i25.jpg
130.49,51.09,75.44,14.33,60.75,935,10,-3,t3i22.png
110.39,61.32,729.19,16.77,17.1,44078,14,-7,Groupe6_image5.jpg
88.86,57.43,122.6,17.09,15.95,53210,13,-2,img6.jpg
87.8,61.02,807.11,16.5,18.08,19074,4,4,img1.png
72.75,63.85,89.23,9.26,32.65,2407,7,4,Groupe6_image3.jpg
150.81,73.64,120.86,9.24,7.75,671,6,3,Groupe2_Image3.jpeg
126.51,47.0,1079.15,17.91,16.19,27896,4,9,Groupe5_image17.jpeg
153.61,44.72,19.96,32.73,29.09,55,10,-3,Groupe6_image7.jpg
121.27,47.24,256.92,18.32,13.73,16915,7,1,Groupe1_Image2.jpg
118.78,59.26,447.35,16.87,13.21,62433,10,-3,Groupe2_Image12.png
80.19,50.01,17.15,100.0,0.0,143,3,3,Groupe1_Image7.jpg
145.82,58.42,164.29,28.57,24.21,252,5,5,img2.jpg
129.55,52.15,145.19,17.18,15.74,105070,21,-6,Groupe6_image1.jpg
147.74,53.33,111.89,16.59,21.82,4527,7,3,Groupe5_image16.jpeg
80.84,38.56,377.27,15.27,27.62,7860,9,1,Groupe6_image9.jpg
131.62,49.68,474.64,17.14,14.45,103827,16,-10,grp7img11.jpg
136.49,61.57,20.58,30.74,61.48,244,14,-5,Groupe6_image4.jpg
158.55,56.65,507.52,13.12,19.71,60395,13,-11,grp7img4.jpeg
100.92,44.15,1524.2,34.3,47.4,481,8,7,Groupe5_image12.jpeg
147.52,72.07,3064.69,20.66,13.03,26368,6,1,t3i3.jpg
116.32,23.87,63.85,100.0,0.0,11,0,4,t3i16.png
147.24,35.01,729.01,13.05,17.47,76822,13,-7,t3i11.jpeg
128.0,54.25,214.07,17.56,13.5,89547,24,-2,grp7img12.jpg
103.2,47.84,289.07,14.89,17.25,76996,18,-6,Groupe1_Image5.jpg
134.29,61.4,156.47,8.01,38.59,2983,7,7,Groupe5_image08.jpg
70.27,57.62,503.23,20.57,16.0,8501,6,-2,Groupe5_image14.jpeg
114.18,46.87,47.84,22.74,22.63,4507,10,1,t3i1.jpg
118.65,29.76,18.24,89.57,10.43,211,9,8,Groupe1_Image8.jpg
122.56,41.65,30.54,32.25,55.33,338,16,-8,t3i28.jpg
140.81,67.66,3721.65,12.39,19.86,50689,3,31,t3i10.jpg
136.31,44.01,935.33,16.12,14.33,97230,20,-6,t3i21.jpeg
110.5,62.48,291.96,17.0,13.68,91097,17,-7,grp7img10.jpg
109.81,51.62,242.36,12.89,16.61,82005,17,-5,Groupe1_Image4.jpg
